"CombPer","Cap","IWB","ODB","TotCap","Power"
90.0,44.1,22.0,6.0,47.6,12.5
90.0,44.1,22.0,7.9,47.6,11.8
90.0,44.1,22.0,9.8,47.6,11.2
90.0,44.1,22.0,11.8,47.6,10.6
90.0,44.1,22.0,13.7,47.6,10.1
90.0,44.1,24.0,-15.0,33.5,13.6
90.0,44.1,24.0,-13.0,35.0,13.9
90.0,44.1,24.0,-11.0,36.7,14.2
90.0,44.1,24.0,-10.0,37.5,14.3
90.0,44.1,24.0,-9.1,38.4,14.4
90.0,44.1,24.0,-7.6,39.8,14.6
90.0,44.1,24.0,-5.6,41.8,14.9
90.0,44.1,24.0,-3.7,43.8,15.2
90.0,44.1,24.0,-0.7,44.3,14.1
90.0,44.1,24.0,2.2,44.3,12.9
90.0,44.1,24.0,4.1,44.3,12.2
90.0,44.1,24.0,6.0,44.3,11.5
90.0,44.1,24.0,7.9,44.3,10.9
90.0,44.1,24.0,9.8,44.3,10.4
90.0,44.1,24.0,11.8,44.3,9.8
90.0,44.1,24.0,13.7,44.3,9.31
80.0,39.2,16.0,-15.0,33.7,12.6
80.0,39.2,16.0,-13.0,35.2,12.9
80.0,39.2,16.0,-11.0,36.9,13.3
80.0,39.2,16.0,-10.0,37.7,13.4
80.0,39.2,16.0,-9.1,38.5,13.6
80.0,39.2,16.0,-7.6,40.0,13.8
80.0,39.2,16.0,-5.6,42.0,14.1
80.0,39.2,16.0,-3.7,44.0,14.4
80.0,39.2,16.0,-0.7,47.5,14.9
80.0,39.2,16.0,2.2,51.0,15.2
80.0,39.2,16.0,4.1,51.0,14.4
80.0,39.2,16.0,6.0,51.0,13.6
80.0,39.2,16.0,7.9,51.0,12.8
80.0,39.2,16.0,9.8,51.0,12.1
80.0,39.2,16.0,11.8,51.0,11.4
80.0,39.2,16.0,13.7,51.0,10.8
80.0,39.2,18.0,-15.0,33.6,13.0
80.0,39.2,18.0,-13.0,35.1,13.3
80.0,39.2,18.0,-11.0,36.8,13.6
80.0,39.2,18.0,-10.0,37.7,13.8
80.0,39.2,18.0,-9.1,38.5,13.9
80.0,39.2,18.0,-7.6,39.9,14.2
80.0,39.2,18.0,-5.6,41.9,14.5
80.0,39.2,18.0,-3.7,43.9,14.8
80.0,39.2,18.0,-0.7,47.4,15.2
80.0,39.2,18.0,2.2,48.1,14.2
80.0,39.2,18.0,4.1,48.1,13.4
80.0,39.2,18.0,6.0,48.1,12.7
80.0,39.2,18.0,7.9,48.1,12.0
80.0,39.2,18.0,9.8,48.1,11.3
80.0,39.2,18.0,11.8,48.1,10.7
80.0,39.2,18.0,13.7,48.1,10.2
80.0,39.2,20.0,-15.0,33.6,13.4
80.0,39.2,20.0,-13.0,35.1,13.7
80.0,39.2,20.0,-11.0,36.7,14.0
80.0,39.2,20.0,-10.0,37.6,14.2
80.0,39.2,20.0,-9.1,38.4,14.3
80.0,39.2,20.0,-7.6,39.8,14.5
80.0,39.2,20.0,-5.6,41.8,14.8
80.0,39.2,20.0,-3.7,43.9,15.1
80.0,39.2,20.0,-0.7,45.2,14.4
80.0,39.2,20.0,2.2,45.2,13.2
80.0,39.2,20.0,4.1,45.2,12.5
80.0,39.2,20.0,6.0,45.2,11.8
80.0,39.2,20.0,7.9,45.2,11.2
80.0,39.2,20.0,9.8,45.2,10.6
80.0,39.2,20.0,11.8,45.2,10.0
80.0,39.2,20.0,13.7,45.2,9.5
80.0,39.2,21.0,-15.0,33.5,13.6
80.0,39.2,21.0,-13.0,35.0,13.9
80.0,39.2,21.0,-11.0,36.7,14.2
80.0,39.2,21.0,-10.0,37.5,14.4
80.0,39.2,21.0,-9.1,38.3,14.5
80.0,39.2,21.0,-7.6,39.8,14.7
80.0,39.2,21.0,-5.6,41.8,15.0
80.0,39.2,21.0,-3.7,43.7,15.2
80.0,39.2,21.0,-0.7,43.7,13.9
80.0,39.2,21.0,2.2,43.7,12.7
80.0,39.2,21.0,4.1,43.7,12.0
80.0,39.2,21.0,6.0,43.7,11.4
80.0,39.2,21.0,7.9,43.7,10.8
80.0,39.2,21.0,9.8,43.7,10.2
